"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE927751015216";"Photovoltaikkraftwerk Groß Dölln 4 GmbH & Co. KG";"In Betrieb";"Solare Strahlungsenergie";"18217,5";"14400";"9/26/2012";"7/3/2019";"Brandenburg";"17268";"Templin";"";"";"Vietmannsdorf / Groß Dölln";"Flur 4, Flurstücke 2, 13, 17 / Flur 4, Flurstücke 224, 233, 242 und weitere";"12065356";"53,02";"13,32";"208800";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"9/3/2019";"";"";"Photovoltaikkraftwerk Groß Dölln 4 GmbH & Co. KG";"ABR915766146797";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL979116969214";"EEG945429983247";"E4186001SZP0000000000042619600001";"9/26/2012";"18217,5";"";"";"";"";""
"SEE977297150834";"Photovoltaikkraftwerk Groß Dölln 5 GmbH & Co. KG";"In Betrieb";"Solare Strahlungsenergie";"18117,75";"14400";"9/13/2012";"7/3/2019";"Brandenburg";"17268";"Templin";"";"";"Groß Dölln";"Flur 1, Flurstücke 90/2, 91/2, 98, 99, 100, 103, 104/2, 201 und weitere";"12065356";"53,02";"13,32";"213150";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"9/3/2019";"";"";"Photovoltaikkraftwerk Groß Dölln 5 GmbH & Co. KG";"ABR941820351357";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL954076642513";"EEG963424616632";"E4186001SZP0000000000042618800001";"9/13/2012";"18117,75";"";"";"";"";""
"SEE917373442484";"Photovoltaikkraftwerk Groß Dölln 6 GmbH & Co. KG";"In Betrieb";"Solare Strahlungsenergie";"16090,5";"12600";"9/25/2012";"7/3/2019";"Brandenburg";"17268";"Templin";"";"";"Groß Väter / Vietmannsdorf";"Flur 1, Flurstücke 69, 111 / Flur 4, Flurstücke 10, 18";"12065356";"53,02";"13,32";"189300";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"9/3/2019";"";"";"Photovoltaikkraftwerk Groß Dölln 6 GmbH & Co. KG";"ABR977170715327";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL986839363014";"EEG999930292381";"E4186001SZP0000000000042617600001";"9/25/2012";"16090,5";"";"";"";"";""
"SEE996909927305";"Solarpark Magdeburg BC";"In Betrieb";"Solare Strahlungsenergie";"1487,67";"1250";"9/28/2012";"7/4/2019";"Sachsen-Anhalt";"39114";"Magdeburg";"Berliner Chaussee";"218";"";"";"15003000";"52,132504";"11,699947";"6072";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"8/2/2022";"";"";"Solarpark Magdeburg GmbH & Co. KG";"ABR978478894790";"Volleinspeisung";"";"Netze Magdeburg GmbH (SNB933459598975)";"SNB933459598975";"Geprüft";"Mittelspannung";"SEL908723644207";"EEG998440094850";"E47046000000000000010002411600000";"9/28/2012";"1487,67";"";"";"";"";""
"SEE950502430525";"Solarpark Magdeburg SBW";"In Betrieb";"Solare Strahlungsenergie";"1203,93";"1000";"9/28/2012";"7/4/2019";"Sachsen-Anhalt";"39128";"Magdeburg";"Silberbergweg";"1";"";"";"15003000";"52,166414";"11,608588";"4914";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"9/7/2022";"";"";"Solarpark Magdeburg GmbH & Co. KG";"ABR978478894790";"Volleinspeisung";"";"Netze Magdeburg GmbH (SNB933459598975)";"SNB933459598975";"Geprüft";"Mittelspannung";"SEL926292678959";"EEG948182896380";"E47046000000000000010000242490000";"9/28/2012";"1203,93";"";"";"";"";""
"SEE911827432335";"031-Beeskow";"In Betrieb";"Solare Strahlungsenergie";"745,8";"732,38";"12/21/2018";"7/5/2019";"Brandenburg";"15848";"Beeskow";"";"";"Beeskow";"Flur3: 259/2";"12067036";"52,191039";"14,25055";"2712";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"9/6/2022";"";"";"WI Energy Verwaltungs GmbH";"ABR906864070299";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Mittelspannung";"SEL996577432590";"EEG938520516322";"E4186001S000000000000107762500001";"12/21/2018";"745,8";"";"";"";"";""
"SEE953039650619";"PVA Freiflächenanlage Farnstädt";"In Betrieb";"Solare Strahlungsenergie";"1201,98";"1068";"12/13/2011";"7/7/2019";"Sachsen-Anhalt";"06279";"Farnstädt";"Röblinger Straße";"900 r";"";"";"15088100";"51,431067";"11,578767";"5226";"Süd-West";"";"";"";"";"";"";"";"";"Freifläche";"3/4/2022";"";"";"natürliche Person (ABR903891071893)";"ABR903891071893";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL974422187116";"EEG979524379766";"E41081010000000000000000000148648";"12/13/2011";"1201,98";"";"";"";"";""
"SEE973541233780";"PV Prenzlau";"In Betrieb";"Solare Strahlungsenergie";"461,83";"461,83";"12/30/2011";"7/7/2019";"Brandenburg";"17291";"Prenzlau";"Röpersdorfer Straße";"0";"";"";"12073452";"53,29686";"13,819";"";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"2/28/2020";"";"";"natürliche Person (ABR988135773542)";"ABR988135773542";"Volleinspeisung";"";"Stadtwerke Prenzlau GmbH (SNB941283828373)";"SNB941283828373";"Geprüft";"Mittelspannung";"SEL964871788033";"EEG950578310844";"E40075841729130122011021100000001";"12/30/2011";"461,83";"";"";"";"";""
"SEE908235865503";"Solarpark Koppatz";"In Betrieb";"Solare Strahlungsenergie";"749,91";"726";"6/19/2019";"7/11/2019";"Brandenburg";"03058";"Neuhausen";"";"";"Gemark Koppatz";"Flur1: 544, 175.";"12052000";"51,697896";"14,420302";"2436";"Süd-Ost";"";"";"";"";"";"";"";"";"Freifläche";"12/1/2021";"";"";"Solarpark Koppatz";"ABR936106680696";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL938828057718";"EEG906659417063";"E41081010000000000000000000259551";"6/19/2019";"749,91";"";"";"";"";""
"SEE929048339715";"EGPD - PVA3";"In Betrieb";"Solare Strahlungsenergie";"749,98";"700";"1/19/2018";"7/8/2019";"Sachsen";"04509";"Delitzsch";"Benndorfer Landstraße";"2";"";"";"14730070";"51,549966";"12,342793";"2692";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"8/28/2022";"";"";"energy park - Delitzsch PV II GmbH & Co. KG";"ABR978975451328";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung; Mittelspannung; Mittelspannung; Mittelspannung";"SEL933047755551";"EEG956185308717";"E41081010000000000000000000259932";"1/19/2018";"749,98";"";"";"";"";""
"SEE984194854482";"Bochow 4";"In Betrieb";"Solare Strahlungsenergie";"4502,25";"4220";"12/30/2011";"7/9/2019";"Brandenburg";"14550";"Groß Kreutz";"";"";"Bochow";"Flur 2 Flurstücke 299, 297, 298, 285/1, 280";"12069249";"52,23";"12,46";"31050";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"4/8/2020";"";"";"Photovoltaikkraftwerk Bochow 4 GmbH & Co. KG";"ABR917664461774";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL988207416940";"EEG985785764708";"E4186001ASE0000000000026480100001";"12/30/2011";"4502,25";"";"";"";"";""
"SEE983310162524";"Bochow 5";"In Betrieb";"Solare Strahlungsenergie";"5639,4";"5280";"3/8/2012";"7/9/2019";"Brandenburg";"14550";"Groß Kreutz";"";"";"Bochow";"Flur 2 Flurstücke 280, 276-278, 300-302";"12069249";"52,23";"12,46";"43380";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"4/8/2020";"";"";"Photovoltaikkraftwerk Bochow 5 GmbH & Co. KG";"ABR975502529567";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL964469953645";"EEG946106036614";"E4186001ASE0000000000026480400001";"3/8/2012";"5639,4";"";"";"";"";""
"SEE949495696780";"Bochow 6";"In Betrieb";"Solare Strahlungsenergie";"5859,45";"5280";"3/8/2012";"7/9/2019";"Brandenburg";"14550";"Groß Kreutz";"";"";"Bochow";"Flur 3 Flurstücke 2/1, 269, 273, 8, 9";"12069249";"52,23";"12,46";"40410";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"4/8/2020";"";"";"Photovoltaikkraftwerk Bochow 6 GmbH & Co. KG";"ABR934238273403";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL957393574918";"EEG908842978689";"E4186001ASE0000000000026475900001";"3/8/2012";"5859,45";"";"";"";"";""
"SEE900574880605";"Solar Freifläche";"In Betrieb";"Solare Strahlungsenergie";"749,58";"689,7";"7/19/2019";"7/9/2019";"Sachsen";"04774";"Dahlen";"Malkwitzer Weg";"27";"";"";"14730060";"51,350529";"12,995476";"2418";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/12/2020";"";"";"PV Anlage Sperlich GBR";"ABR956398032485";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL939209291318";"EEG909171524172";"E41081010000000000000000000289452";"7/19/2019";"749,58";"";"";"";"";""
"SEE916669778528";"PV-Park Dessau-Süd";"In Betrieb";"Solare Strahlungsenergie";"2505,6";"2175";"4/30/2015";"7/16/2019";"Sachsen-Anhalt";"06847";"Dessau-Roßlau";"Hohe Straße (Dessau)";"900";"";"";"15001000";"51,7993";"12,236194";"8352";"Ost-West";"";"";"";"";"";"";"";"";"Freifläche";"10/6/2022";"";"";"Photovoltaik-Park Dessau-Süd GmbH & Co. KG";"ABR918007540774";"Volleinspeisung";"";"Dessauer Stromversorgung GmbH (SNB954281375657)";"SNB954281375657";"In Prüfung";"Mittelspannung";"SEL980463571517";"EEG920607934105";"E42377MS0684700000000000040600001";"4/30/2015";"2505,6";"";"";"";"";""
"SEE942372818534";"Solarpark Neustadt-Dosse IIB";"In Betrieb";"Solare Strahlungsenergie";"1103,52";"944,9";"7/24/2019";"7/25/2019";"Brandenburg";"16845";"Neustadt";"";"";"Kampehl";"Flur12: 627.";"12068324";"52,844355";"12,464701";"3872";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"2/20/2020";"";"";"Sonnenenergie Osterhof IV GmbH & Co. KG";"ABR971732423057";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Mittelspannung";"SEL934714045333";"EEG997336718986";"";"7/24/2019";"1103,52";"Gem18-1/048,";"";"";"";""
"SEE984620123939";"SBA Werneuchen Seefeld 1";"In Betrieb";"Solare Strahlungsenergie";"2344,95";"1008";"5/31/2014";"7/10/2019";"Brandenburg";"16356";"Werneuchen";"Kastanienstraße";"";"";"";"12060280";"52,642621";"13,752208";"8685";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"3/31/2020";"";"";"SBA Solaranlagen Betriebs- und Verwaltungs GmbH";"ABR950078853308";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Mittelspannung";"SEL944961877564";"EEG920045934552";"E4186001SZP0000000000062239700001";"5/31/2014";"2344,95";"";"";"";"";""
"SEE949902612181";"SBA Werneuchen Seefeld 2";"In Betrieb";"Solare Strahlungsenergie";"182,25";"182,25";"6/25/2014";"7/10/2019";"Brandenburg";"16356";"Werneuchen";"Kastanienstraße";"";"";"";"12060280";"52,642621";"13,752208";"675";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"10/5/2020";"";"";"SBA Solaranlagen Betriebs- und Verwaltungs GmbH";"ABR950078853308";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Mittelspannung";"SEL944961877564";"EEG989980948475";"E4186001SZP0000000000062239700002";"6/25/2014";"182,25";"";"";"";"";""
"SEE960771408637";"PV Eigenverbrauchsanlage 6 Wicht 2019";"In Betrieb";"Solare Strahlungsenergie";"49,6";"49,6";"7/9/2019";"7/11/2019";"Sachsen-Anhalt";"06295";"Lutherstadt Eisleben";"Wolferöder Weg";"15c";"";"";"15087130";"51,520294";"11,53688";"160";"Süd-West";"";"";"";"";"";"";"";"";"Freifläche";"3/9/2020";"";"";"Wicht Immobilien und Anlagen KG";"ABR959625187767";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"Stadtwerke Lutherstadt Eisleben GmbH (SNB946425570127)";"SNB946425570127";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL906351847137";"EEG964750725531";"";"7/9/2019";"49,6";"";"";"";"";""
"SEE923665605024";"Solarpark Großbothen";"In Betrieb";"Solare Strahlungsenergie";"748";"612";"2/12/2018";"7/12/2019";"Sachsen";"04668";"Grimma";"Am Stockweg";"7";"";"";"14729160";"51,180462";"12,762932";"2720";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"1/7/2021";"";"";"natürliche Person (ABR973366389181)";"ABR973366389181";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL921355182176";"EEG935566018018";"E41081010000000000000000000257007";"2/12/2018";"748";"";"";"";"";""
"SEE913362325394";"Solarpark Prischwitz";"In Betrieb";"Solare Strahlungsenergie";"669,9";"669,9";"6/21/2019";"7/12/2019";"Sachsen";"02633";"Göda";"";"";"Prischwitz";"Prischwitz Flur 14 Flurstück 43/4";"14625150";"51,203993";"14,303639";"2310";"Süd-West";"";"";"";"";"";"";"";"";"Freifläche";"6/8/2021";"";"";"Dr. Christian und Christa Tonnesen";"ABR934185276854";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL908191013284";"EEG946578545751";"E41874010000000000350000168100001";"6/21/2019";"669,9";"";"";"";"";""
"SEE972685732159";"Solardach Köthen";"In Betrieb";"Solare Strahlungsenergie";"9334,38";"9334,38";"6/29/2012";"7/15/2019";"Sachsen-Anhalt";"06366";"Köthen";"Maxdorfer Straße";"901 j";"";"";"15082180";"51,45556";"11,57037";"39358";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/4/2021";"";"";"Solardach Köthen GmbH &Co.KG";"ABR935958659164";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL958271861496";"EEG981830531950";"E41081010000000000000000000153227";"6/29/2012";"9334,38";"";"";"";"";""
"SEE991408659993";"SBA Werneuchen Deponie 1";"In Betrieb";"Solare Strahlungsenergie";"1818,405";"1818,405";"1/29/2015";"7/16/2019";"Brandenburg";"16356";"Werneuchen";"Beiersdorfer Weg";"60";"";"";"12060280";"52,642621";"13,752208";"6144";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"3/20/2020";"";"";"SBA Solaranlagen Betriebs- und Verwaltungs GmbH";"ABR950078853308";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Mittelspannung";"SEL932843955776";"EEG977267304519";"E4186001S000000000000071632700001";"1/29/2015";"1818,405";"";"";"";"";""
"SEE951036147415";"SBA Werneuchen Deponie 2";"In Betrieb";"Solare Strahlungsenergie";"1021,275";"1021,275";"2/27/2015";"7/16/2019";"Brandenburg";"16356";"Werneuchen";"Beiersdorfer Weg";"60";"";"";"12060280";"52,642621";"13,752208";"4992";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"3/20/2020";"";"";"SBA Solaranlagen Betriebs- und Verwaltungs GmbH";"ABR950078853308";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Mittelspannung";"SEL906666321186";"EEG978353702660";"E4186001S000000000000071632700002";"2/27/2015";"1021,275";"";"";"";"";""
"SEE944015839661";"Stendal Solarstrom";"In Betrieb";"Solare Strahlungsenergie";"4320";"3615,6";"5/31/2013";"7/16/2019";"Sachsen-Anhalt";"39576";"Stendal";"Ziegeleiweg";"";"";"";"15090535";"52,599424";"11,873626";"17280";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"2/12/2020";"";"";"Stendal Solarstrom GmbH & Co. KG";"ABR990705185280";"Volleinspeisung";"SGE975610220912";"Stadtwerke - Altm. Gas-, Wasseru.Elektrizitätswerke GmbH Stendal (SNB957404386462)";"SNB957404386462";"Geprüft";"Mittelspannung";"SEL949123586872";"EEG933792758166";"E40976010000000000010002633400001";"5/31/2013";"4320";"";"";"";"";""
"SEE938852678545";"PVA Groß Börnecke";"In Betrieb";"Solare Strahlungsenergie";"747,84";"640";"7/15/2019";"7/18/2019";"Sachsen-Anhalt";"39444";"Hecklingen";"Hecklinger Straße";"";"";"";"15089175";"51,883658";"11,486818";"2624";"Süd-West";"";"";"";"";"";"";"";"";"Freifläche";"7/18/2019";"";"";"Parabel 108 GmbH & Co. KG";"ABR915142137630";"Volleinspeisung";"";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Mittelspannung";"SEL954271238245";"EEG958578076937";"";"7/15/2019";"747,84";"";"";"";"";""
"SEE968068788530";"PV-Lausitz";"In Betrieb";"Solare Strahlungsenergie";"285,39";"285,39";"7/15/2019";"7/18/2019";"Brandenburg";"04924";"Lausitz";"Robert-Reiss-Allee";"900";"";"";"12062024";"51,509647";"13,359683";"906";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"2/9/2021";"";"";"natürliche Person (ABR941520288281)";"ABR941520288281";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL977037250060";"EEG915522053857";"E41081010000000000000000000292108";"7/15/2019";"285,39";"";"";"";"";""
"SEE955486657418";"Solarpark Penig 1+2 (Teil 1)";"In Betrieb";"Solare Strahlungsenergie";"58,8";"58";"4/20/2007";"7/19/2019";"Sachsen";"09322";"Penig";"Kreisel";"6";"";"";"14522460";"50,56";"12,42";"336";"nachgeführt";"";"";"";"";"";"";"";"";"Freifläche";"11/2/2021";"";"";"Green Management 3000 GmbH";"ABR927076382963";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Umspannebene Mittelspannung/Niederspannung";"SEL944882293191";"EEG938363621603";"E41081010000000000000000000015459";"4/20/2007";"58,8";"";"";"";"";""
"SEE916329168522";"Solarpark Penig 3+4";"In Betrieb";"Solare Strahlungsenergie";"664,23";"611,95";"12/17/2007";"7/19/2019";"Sachsen";"09322";"Penig";"Kreisel";"6 z";"";"";"14522350";"50,56";"12,42";"3738";"nachgeführt";"";"";"";"";"";"";"";"";"Freifläche";"3/8/2021";"";"";"Green Management 3000 GmbH";"ABR927076382963";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL948608748125";"EEG975405823571";"E41081010000000000000000000118096";"12/17/2007";"664,23";"";"";"";"";""
"SEE901619215956";"Solarpark Glöthe";"In Betrieb";"Solare Strahlungsenergie";"999,81";"865,8";"6/29/2012";"7/19/2019";"Sachsen-Anhalt";"39443";"Staßfurt";"Ernst-Thälmann-Straße";"";"";"";"15089310";"51,903175";"11,671489";"4347";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"9/18/2019";"";"";"Solarpark Glöthe GmbH & Co. KG";"ABR976837195052";"Volleinspeisung";"";"Stadtwerke Staßfurt GmbH (SNB910474681448)";"SNB910474681448";"Geprüft";"Mittelspannung";"SEL990530158701";"EEG936818543890";"E470706939418S0000000000000017599";"6/29/2012";"999,81";"";"";"";"";""
"SEE913607962513";"18106 SP Kreypau Teil A";"In Betrieb";"Solare Strahlungsenergie";"1256,64";"1256,64";"5/16/2018";"7/31/2019";"Sachsen-Anhalt";"06237";"Leuna";"";"";"Kreypau";"Flur11: 45/1, 45/2, 45/10, 46, 47.";"15088020";"51,354152";"12,039372";"4488";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"10/16/2019";"";"";"Solarpark Gerti Wieland Kreypau GmbH & Co. KG";"ABR950667971208";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL941068877541";"EEG940382742689";"E41081010000000000000000000252334";"5/16/2018";"1256,64";"SOL17-1/067,";"";"";"";""
"SEE937558965997";"Solarpark Baruth/Mark";"In Betrieb";"Solare Strahlungsenergie";"749,1";"600";"1/12/2018";"7/22/2019";"Brandenburg";"15837";"Baruth";"";"";"Baruth/Mark";"Flur 5: 689";"12072014";"52,062217";"13,512955";"2724";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"3/11/2020";"";"";"Solarpark Baruth/Mark UG (haftungsbeschränkt) & Co. KG";"ABR976575211618";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Mittelspannung";"SEL927836128947";"EEG976039508674";"E4186001S000000000000095812600001";"1/12/2018";"749,1";"";"";"";"";""
"SEE900185100727";"Solarpark Eickendorf";"In Betrieb";"Solare Strahlungsenergie";"2501,76";"2501,76";"6/11/2012";"7/22/2019";"Sachsen-Anhalt";"39221";"Eickendorf";"Bahnhofstraße (Eickendorf)";"";"";"";"15089042";"51,95";"11,66";"10516";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"7/22/2019";"";"";"Green Management 3000 GmbH";"ABR927076382963";"Volleinspeisung";"";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Mittelspannung";"SEL947704934548";"EEG932584543201";"E4187802S120000000000034373100001";"6/11/2012";"2501,76";"";"";"";"";""
"SEE980853662559";"Solarpark Spremberg";"In Betrieb";"Solare Strahlungsenergie";"3606,24";"3493";"10/21/2011";"7/22/2019";"Brandenburg";"03130";"Spremberg";"Kraftwerkstraße";"42";"";"";"12071372";"51,34";"14,23";"15026";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"7/22/2019";"";"";"Green Management 3000 GmbH";"ABR927076382963";"Volleinspeisung";"";"Städtische Werke Spremberg (Lausitz) GmbH (SNB926394976090)";"SNB926394976090";"Geprüft";"Mittelspannung";"SEL988667971935";"EEG903955562985";"";"10/21/2011";"3606,24";"";"";"";"";""
"SEE906454081483";"Solarpark Lüptitz 1";"In Betrieb";"Solare Strahlungsenergie";"36";"34,2";"8/26/2011";"7/23/2019";"Sachsen";"04808";"Lossatal";"Am Gabelsberg";"3";"";"";"14729245";"51,382523";"12,781283";"450";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"1/27/2022";"";"";"Green Management 3000 GmbH";"ABR927076382963";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL941022731650";"EEG940722468637";"E41081010000000000000000000169210";"8/26/2011";"36";"";"";"";"";""
"SEE912164608179";"Solarpark Falkenstein 2 (BA 01)";"In Betrieb";"Solare Strahlungsenergie";"2160";"1980";"5/30/2014";"7/23/2019";"Sachsen-Anhalt";"06463";"Reinstedt";"Ermslebener Straße";"901 z";"";"";"15085110";"51,757015";"11,364869";"8640";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"1/27/2022";"";"";"Green Management 3000 GmbH";"ABR927076382963";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL940686909160";"EEG936583260558";"E41081010000000000000000000198152";"5/30/2014";"2160";"";"";"";"";""
"SEE967137029871";"Solarpark Schönefeld";"In Betrieb";"Solare Strahlungsenergie";"3120";"2750";"8/27/2015";"7/23/2019";"Brandenburg";"14947";"Nuthe-Urstromtal";"Kummersdorfer Straße";"";"";"";"12072312";"52,084";"13,325";"12000";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"4/14/2020";"";"";"Green Management 3000 GmbH";"ABR927076382963";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Mittelspannung";"SEL938783909763";"EEG982359205797";"";"8/27/2015";"3120";"";"";"";"";""
"SEE930935361658";"PVA Berga";"In Betrieb";"Solare Strahlungsenergie";"735,905";"674";"3/29/2018";"7/23/2019";"Brandenburg";"04936";"Schlieben";"Gartenstraße";"49";"";"";"12062445";"51,740767";"13,383913";"2777";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"10/4/2021";"";"";"Schliebener Stahl- und Metallbau GmbH";"ABR976708041969";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL933304922733";"EEG969717667367";"E41081010000000000000000000253153";"3/29/2018";"735,905";"";"";"";"";""
"SEE934137841055";"Solarpark Maulbeerwalde I";"In Betrieb";"Solare Strahlungsenergie";"9804";"7740";"6/20/2018";"7/29/2019";"Brandenburg";"16909";"Heiligengrabe";"Liebenthaler Straße";"";"";"";"12068181";"53,169";"12,364";"24400";"Süd-Ost";"";"";"";"";"";"";"";"";"Freifläche";"6/9/2021";"";"";"Green Management 3000 GmbH";"ABR927076382963";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Mittelspannung";"SEL964064586989";"EEG964873965937";"E4186001EA01000000000098130100001";"6/20/2018";"9804";"FFA16-3/021,";"";"";"";""
